win,gameDuration,kills,deaths,csPerMinute,dmgPerMinute
1,1668,5,6,6.7,413
1,2016,8,5,6.9,716
0,1474,7,7,5.8,647
1,2017,3,9,5.7,471
1,2464,3,8,5.2,414
0,2696,12,6,7.2,747
1,1777,3,6,6.2,534
1,1646,4,8,4.9,524
1,2151,7,6,7.2,618
1,1594,8,5,7.5,572
1,1485,2,7,5.2,630
0,1512,3,6,6.9,530
1,1755,6,6,7.1,717
0,1330,4,2,6.8,536
1,2425,12,8,5.8,826
1,1167,4,1,8.9,305
0,1900,5,3,9.0,341
0,1806,4,5,6.2,635
0,1721,4,4,8.2,296
1,1980,4,1,8.5,408
1,1749,9,3,7.7,829
0,1874,10,6,7.6,1000
1,1783,7,4,6.9,769
1,2004,6,5,7.2,687
1,1602,2,5,6.1,364
0,1564,6,6,6.9,549
0,1600,4,5,9.1,246
0,2127,6,10,6.9,935
1,1636,5,5,5.5,708
1,1511,9,1,8.0,523
1,1632,5,4,8.0,688
0,1631,4,9,5.9,600
0,2583,2,9,6.4,368
0,1199,1,7,5.0,393
0,1816,1,9,6.4,368
1,1714,12,7,6.5,794
1,2180,6,7,8.4,649
1,1825,2,5,8.1,455
1,1403,7,2,6.6,552
0,1774,7,7,8.0,637
1,1828,15,6,8.2,1252
0,1675,6,4,7.4,592
1,1567,12,6,8.5,1039
1,1720,0,4,8.0,374
0,1781,11,8,5.8,500
0,1175,2,4,5.6,450
0,1465,6,8,5.9,813
1,1632,7,4,6.7,589
1,1203,13,2,7.2,701
1,1934,8,6,6.4,677
0,1864,2,5,6.0,190
